Index,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Sev_Z,Phil_U,Chapitre, Type, Conserver, Revoir,Index,A,B,G,J,Q,R,Z,U,Notes,Index
1,primo,ø,primero,primero,primero,primero,primero,ø,1,,Non, Non,1,1,0,2,2,2,2,2,0,,1
2,ø,ø,ø,ø,muestra,ø,demuestra,ø,1,,Non, Non,2,0,0,0,0,2,0,1,0,,2
3,ø,ø,ø,E,en,ø,que,ø,1,,Non, Non,3,0,0,0,1,3,0,2,0,,3
4,ø,ø,ø,ø,commo,ø,qual,ø,1,,Non, Non,4,0,0,0,0,1,0,2,0,,4
5,ø,ø,ø,ø,ha,ø,quier,ø,1,,Non, Non,5,0,0,0,0,2,0,1,0,,5
6,ø,ø,ø,ø,governar,ø,batalla,ø,1,,Non, Non,6,0,0,0,0,1,0,2,0,,6
7,ø,ø,ø,ø,el,ø,se,ø,1,,Non, Non,7,0,0,0,0,1,0,2,0,,7
8,ø,ø,ø,contiene,regno,ø,contiene,ø,1,,Non, Non,8,0,0,0,1,2,0,1,0,,8
9,ø,ø,ø,xxiii,et,ø,so,ø,1,,Non, Non,9,0,0,0,3,1,0,2,0,,9
10,ø,ø,ø,capítulos,tienpo,ø,arte,ø,1,,Non, Non,10,0,0,0,3,2,0,1,0,,10
11,ø,ø,ø,ø,guerra,ø,caualleria,ø,1,,Non, Non,11,0,0,0,0,1,0,2,0,,11
12,ø,quí,ø,ø,quí,qui,ø,quí,1,traduction,Non, Non,12,0,1,0,0,1,2,0,1,,12
13,ø,deste,ø,ø,del,deste,ø,deste,1,traduction,Non, Non,13,0,2,0,0,1,2,0,2,,13
14,ø,e,ø,ø,et,o,ø,e,1,traduction,Non, Non,14,0,2,0,0,1,3,0,2,,14
15,se,se,se,se,se,,se,se,1,traduction,Non, Non,15,1,1,1,1,1,2,1,1,,15
16,han,an,han,han,ha,a,han,ha,1,traduction,Non, Non,16,1,1,1,1,2,3,1,2,,16
17,guisa,cosa,guisa,cosa,cosa,cosa,cosa,cosa,1,traduction,Oui, Non,17,2,1,2,1,1,1,1,1,,17
18,e,o,ø,e,et,e,e,e,1,traduction,Non, Non,18,2,3,0,2,1,2,2,2,,18
19,ø,commo,ø,commo,et,commo,ø,commo,1,traduction,Non, Non,19,0,2,0,2,1,2,0,2,,19
20,o,o,o,o,o,e,o,e,1,traduction,Non, Non,20,1,1,1,1,1,2,1,2,,20
21,e,e,e,e,e,e,e,o,1,glose,Non, Non,21,1,1,1,1,1,1,1,2,,21
22,entençion,entençión,entençión,entençión,entençión,rrazón,intencion,entinçión,1,glose,Non, Non,22,1,1,1,1,1,2,1,1,,22
23,xxiiij°,xxxiiii°,xxiiii°,xx°iiii°,xxiiij°,xxiiii,vicesimaquarta,xxiiii°,1,glose,Non, Non,23,3,4,1,6,3,5,2,1,,23
24,questione,quaestione,quaestione,quaestione,cap,questione,questione,quaestione,1,glose,Non, Non,24,2,3,3,3,1,2,2,3,,24
25,puedense,puédense,puédense,puédense,puédense,se,puedense,dévense,1,glose,Non, Non,25,2,2,2,2,2,1,2,3,,25
26,derecha,paz,derecha,derecha,paz,derecha,derecha,derecha,1,glose,Oui, Non,26,2,1,2,2,1,2,2,2,,26
27,de,de,de,de,del,de,de,de,1,glose,Non, Non,27,2,2,2,2,1,2,2,2,,27
28,la,al,la,la,la,la,la,la,1,glose,Non, Non,28,1,2,1,1,1,1,1,1,,28
