Index,A,B,G,J,Q,R,Z,U,Chapitre, Type, Conserver, Revoir,Index,A,B,G,J,Q,R,Z,U
1,ø,ø,ø,ø,ø,ø,obra,ø,1,,Non, Non,1,0,0,0,0,0,0,2,0
2,ø,ø,ø,ø,ø,ø,la,ø,1,,Non, Non,2,0,0,0,0,0,0,2,0
3,ø,ø,ø,ø,ø,A,ø,ø,1,traduction,Non, Non,3,0,0,0,0,0,2,0,0
4,ø,en,ø,ø,en,ø,ø,en,1,traduction,Non, Non,4,0,1,0,0,1,0,0,1
5,los,los,los,los,los,dos,los,ø,1,traduction,Non, Non,5,2,2,2,2,2,1,2,0
6,parte,parte,parte,parte,ø,parte,parte,parte,1,traduction,Non, Non,6,2,2,2,2,0,2,2,2
7,ha,ha,ha,ha,ha,ø,ha,ha,1,traduction,Non, Non,7,1,1,1,1,1,0,1,1
8,ya,ø,ya,ya,ø,ø,ya,ø,1,traduction,Oui, Non,8,2,0,2,2,0,0,2,0
9,ø,ya,ø,ø,ø,ya,ø,ya,1,traduction,Non, Non,9,0,2,0,0,0,2,0,2
10,de,de,de,de,ø,de,de,de,1,traduction,Non, Non,10,2,2,2,2,0,2,2,2
11,ø,que,que,ø,que,que,que,que,1,glose,Non, Non,11,0,1,1,0,1,1,1,1
12,prima,i,prima,prima,ø,primera,prima,primera,1,glose,Non, Non,12,4,2,4,4,0,3,4,3
13,ø,ø,ø,ø,ø,deven,ø,ø,1,glose,Non, Non,13,0,0,0,0,0,2,0,0
14,ø,de,ø,ø,de,ø,ø,ø,1,glose,Non, Non,14,0,1,0,0,1,0,0,0
15,para,para,para,para,ø,para,para,para,1,glose,Non, Non,15,2,2,2,2,0,2,2,2
16,ø,ø,que,ø,ø,ø,ø,ø,1,glose,Non, Non,16,0,0,2,0,0,0,0,0
17,ø,ø,en,ø,ø,ø,ø,ø,1,glose,Non, Non,17,0,0,2,0,0,0,0,0
18,dicho,dicho,dicho,ø,dicho,dicho,dicho,dicho,1,glose,Non, Non,18,1,1,1,0,1,1,1,1
19,ø,en,ø,ø,en,en,ø,ø,1,glose,Non, Non,19,0,1,0,0,1,1,0,0
20,ø,ø,ø,ø,ø,epístola,ø,ø,1,glose,Non, Non,20,0,0,0,0,0,2,0,0
21,que,ø,que,que,ø,que,que,que,1,glose,Non, Non,21,2,0,2,2,0,2,2,2
22,que,que,que,que,ø,que,que,ø,1,glose,Non, Non,22,2,2,2,2,0,2,2,0
23,en,en,ø,en,en,en,en,ø,1,glose,Non, Non,23,1,1,0,1,1,1,1,0
24,ø,ø,ø,ø,ø,ø,ø,la,1,glose,Non, Non,24,0,0,0,0,0,0,0,2
25,ø,se,ø,ø,se,ø,ø,ø,1,glose,Non, Non,25,0,1,0,0,1,0,0,0
26,a,ø,a,a,ø,ø,a,ø,1,glose,Non, Non,26,2,0,2,2,0,0,2,0
27,victoria,cabsa,ø,vençimiento,causa,ø,vitoria,ø,1,glose,Oui, Non,27,2,4,0,3,4,0,2,0
28,ø,ø,ø,ø,ø,Olifernes,ø,ø,1,glose,Non, Non,28,0,0,0,0,0,2,0,0
29,ø,ø,ø,ø,ø,dios,ø,ø,1,glose,Non, Non,29,0,0,0,0,0,2,0,0
30,ø,el,el,el,el,el,el,el,1,glose,Non, Non,30,0,1,1,1,1,1,1,1
31,vos,ø,vos,vos,ø,ø,vos,ø,1,glose,Non, Non,31,2,0,2,2,0,0,2,0
32,ø,ø,ø,ø,ø,de,ø,de,1,glose,Non, Non,32,0,0,0,0,0,2,0,2
33,ø,el,ø,ø,el,el,ø,ø,1,glose,Non, Non,33,0,1,0,0,1,1,0,0
34,al,ø,al,ø,ø,ø,al,ø,1,glose,Non, Non,34,2,0,2,0,0,0,2,0
35,ø,el,ø,el,el,el,ø,el,1,glose,Non, Non,35,0,1,0,1,1,1,0,1
36,ø,ø,ø,ø,ø,ø,ø,sy,1,traduction,Non, Non,36,0,0,0,0,0,0,0,2
37,ø,ø,es,ø,ø,ø,ø,ø,1,traduction,Non, Non,37,0,0,2,0,0,0,0,0
38,ø,la,la,ø,ø,la,ø,ø,1,traduction,Non, Non,38,0,2,2,0,0,2,0,0
39,ø,ø,ø,de,ø,ø,ø,ø,1,traduction,Non, Non,39,0,0,0,2,0,0,0,0
40,arte,obra,arte,arte,obra,arte,arte,ø,1,traduction,Oui, Non,40,3,1,3,3,1,3,3,0
41,ø,ø,ø,ø,et,ø,ø,ø,1,traduction,Non, Non,41,0,0,0,0,1,0,0,0
42,ø,ø,ø,primero,ø,conclusión,ø,ø,1,traduction,Non, Non,42,0,0,0,3,0,1,0,0
43,primera,primera,primera,ø,primera,primera,primera,primera,1,traduction,Non, Non,43,1,1,1,0,1,1,1,1
44,de,de,ø,de,de,de,de,de,1,traduction,Non, Non,44,1,1,0,1,1,1,1,1
45,de,de,de,de,de,de,de,ø,1,traduction,Non, Non,45,1,1,1,1,1,1,1,0
46,se,ø,se,se,se,se,se,ø,1,traduction,Non, Non,46,1,0,1,1,1,1,1,0
47,de,ø,de,de,ø,ø,de,de,1,traduction,Non, Non,47,2,0,2,2,0,0,2,2
48,ø,ø,ø,ø,ø,ø,ø,otras,1,traduction,Non, Non,48,0,0,0,0,0,0,0,2
49,que,que,que,que,que,ø,que,que,1,traduction,Non, Non,49,1,1,1,1,1,0,1,1
50,su,su,su,su,ø,su,su,su,1,traduction,Non, Non,50,2,2,2,2,0,2,2,2
51,ø,ø,ø,ø,et,ø,ø,ø,1,traduction,Non, Non,51,0,0,0,0,1,0,0,0
52,la,la,la,la,la,ø,la,ø,1,traduction,Non, Non,52,1,1,1,1,1,0,1,0
53,ø,ø,ø,ø,s,ø,ø,ø,1,traduction,Non, Non,53,0,0,0,0,1,0,0,0
54,la,la,la,la,la,ø,la,la,1,traduction,Non, Non,54,1,1,1,1,1,0,1,1
55,ø,ø,ø,ø,ø,a,ø,a,1,traduction,Non, Non,55,0,0,0,0,0,2,0,2
56,ø,ø,ø,ø,ø,a,ø,a,1,traduction,Non, Non,56,0,0,0,0,0,2,0,2
57,en,en,en,en,ø,en,en,en,1,traduction,Non, Non,57,2,2,2,2,0,2,2,2
58,a,a,ø,a,a,a,a,a,1,traduction,Non, Non,58,1,1,0,1,1,1,1,1
59,ø,la,ø,ø,la,ø,ø,ø,1,traduction,Non, Non,59,0,1,0,0,1,0,0,0
60,ø,ø,ø,ø,ø,ø,ø,la,1,traduction,Non, Non,60,0,0,0,0,0,0,0,2
61,persona,ø,persona,persona,ø,ø,persona,persona,1,traduction,Non, Non,61,2,0,2,2,0,0,2,2
62,ø,sola,ø,ø,sola,sola,ø,sola,1,traduction,Non, Non,62,0,1,0,0,1,1,0,1
63,de,de,ø,de,de,de,de,de,1,traduction,Non, Non,63,1,1,0,1,1,1,1,1
64,mayor,ø,mayor,mayor,ø,ø,mayor,ø,1,traduction,Oui, Non,64,2,0,2,2,0,0,2,0
65,ø,el,ø,ø,el,es,ø,es,1,traduction,Non, Non,65,0,2,0,0,2,1,0,1
66,ø,ø,ø,ø,de,ø,ø,ø,1,traduction,Non, Non,66,0,0,0,0,1,0,0,0
67,mayor,mayor,mayor,mayor,ø,mayor,mayor,mayor,1,traduction,Non, Non,67,2,2,2,2,0,2,2,2
68,ø,ø,ø,ø,ø,ø,ø,menester,1,traduction,Non, Non,68,0,0,0,0,0,0,0,2
69,ø,ø,ø,ø,más,ø,ø,ø,1,traduction,Non, Non,69,0,0,0,0,1,0,0,0
70,por,ø,por,por,por,por,por,por,1,traduction,Non, Non,70,1,0,1,1,1,1,1,1
71,tanto,ø,tanto,tanto,tanto,ø,tanto,ø,1,traduction,Non, Non,71,1,0,1,1,1,0,1,0
72,de,de,de,ø,de,de,de,de,1,traduction,Non, Non,72,1,1,1,0,1,1,1,1
73,ø,tanto,ø,ø,ø,tanto,ø,tanto,1,traduction,Oui, Non,73,0,2,0,0,0,2,0,2
74,ø,ø,ø,ø,ø,ø,ø,mostró,1,traduction,Non, Non,74,0,0,0,0,0,0,0,2
75,mostro,mostró,mostró,mostró,amostró,mostró,mostro,ø,1,traduction,Non, Non,75,3,3,3,3,2,3,3,0
76,e,e,e,e,e,ø,e,ø,1,traduction,Non, Non,76,1,1,1,1,1,0,1,0
77,ø,el,el,el,el,el,el,el,1,traduction,Non, Non,77,0,1,1,1,1,1,1,1
78,a,ø,a,ø,ø,ø,a,a,1,traduction,Non, Non,78,2,0,2,0,0,0,2,2
79,de,de,de,de,de,de,de,ø,1,traduction,Non, Non,79,1,1,1,1,1,1,1,0
80,ø,le,ø,ø,le,le,ø,ø,1,traduction,Non, Non,80,0,1,0,0,1,1,0,0
81,poner,poner,poner,poner,poner,ø,poner,poner,1,traduction,Non, Non,81,1,1,1,1,1,0,1,1
82,ø,ø,ø,ø,ø,ø,ø,e,1,traduction,Non, Non,82,0,0,0,0,0,0,0,2
83,ø,se,ø,ø,ø,ø,ø,él,1,traduction,Non, Non,83,0,1,0,0,0,0,0,3
84,ser,ø,ser,ser,ser,ser,ser,ser,1,traduction,Non, Non,84,1,0,1,1,1,1,1,1
85,ø,e,ø,ø,e,ø,ø,ø,1,traduction,Non, Non,85,0,1,0,0,1,0,0,0
86,que,ø,que,que,ha,ø,que,ø,1,traduction,Non, Non,86,2,0,2,2,3,0,2,0
87,non,non,non,non,ø,non,non,non,1,traduction,Non, Non,87,2,2,2,2,0,2,2,2
88,es,ø,es,es,asi,ø,es,ø,1,traduction,Non, Non,88,2,0,2,2,1,0,2,0
89,menester,menester,menester,menester,ø,menester,menester,menester,1,traduction,Non, Non,89,2,2,2,2,0,2,2,2
90,ø,ø,ø,ø,la,la,ø,ø,1,traduction,Non, Non,90,0,0,0,0,1,1,0,0
91,ø,ø,ø,ø,ø,e,ø,ø,1,traduction,Non, Non,91,0,0,0,0,0,2,0,0
92,ø,ø,ø,ø,se,se,ø,ø,1,traduction,Non, Non,92,0,0,0,0,1,1,0,0
93,es,es,es,es,es,ø,es,es,1,traduction,Non, Non,93,1,1,1,1,1,0,1,1
94,se,ø,ø,se,ø,ø,se,se,1,traduction,Non, Non,94,2,0,0,2,0,0,2,2
95,de,de,de,de,de,de,ø,de,1,traduction,Non, Non,95,1,1,1,1,1,1,0,1
96,se,ø,ø,se,se,se,se,ø,1,traduction,Non, Non,96,1,0,0,1,1,1,1,0
97,tal,governamiento,tal,tal,tal,ø,tal,ø,1,traduction,Non, Non,97,1,2,1,1,1,0,1,0
98,ø,tal,ø,ø,ø,tal,ø,tal,1,traduction,Non, Non,98,0,2,0,0,0,2,0,2
99,el,ø,el,el,el,el,el,el,1,traduction,Non, Non,99,1,0,1,1,1,1,1,1
100,la,la,la,la,la,la,la,ø,1,traduction,Non, Non,100,1,1,1,1,1,1,1,0
101,que,que,que,que,que,que,ø,que,1,traduction,Non, Non,101,1,1,1,1,1,1,0,1
102,en,en,en,en,en,en,en,ø,1,traduction,Non, Non,102,1,1,1,1,1,1,1,0
103,ø,ø,ø,ø,la,ø,ø,ø,1,traduction,Non, Non,103,0,0,0,0,1,0,0,0
104,que,ø,ø,ø,ø,ø,que,ø,1,traduction,Non, Non,104,2,0,0,0,0,0,2,0
105,ø,que,ø,ø,ø,ø,que,que,1,traduction,Non, Non,105,0,2,0,0,0,0,2,2
106,ø,para,ø,para,para,para,ø,para,1,traduction,Non, Non,106,0,1,0,1,1,1,0,1
107,la,ø,la,la,ø,ø,la,ø,1,traduction,Non, Non,107,2,0,2,2,0,0,2,0
108,parte,ø,parte,parte,ø,ø,parte,ø,1,traduction,Non, Non,108,2,0,2,2,0,0,2,0
109,ø,ø,ø,ø,ø,a,ø,ø,1,traduction,Non, Non,109,0,0,0,0,0,2,0,0
110,ø,ø,en,en,ø,ø,ø,ø,1,traduction,Non, Non,110,0,0,2,2,0,0,0,0
111,se,se,se,se,se,ø,se,ø,1,traduction,Non, Non,111,1,1,1,1,1,0,1,0
112,a,ø,a,a,a,a,a,a,1,traduction,Non, Non,112,1,0,1,1,1,1,1,1
113,es,ø,es,es,es,es,es,es,1,traduction,Non, Non,113,1,0,1,1,1,1,1,1
114,de,de,de,de,ø,de,de,de,1,traduction,Non, Non,114,2,2,2,2,0,2,2,2
115,que,que,que,que,ø,que,que,que,1,traduction,Non, Non,115,2,2,2,2,0,2,2,2
116,se,se,se,se,se,ø,se,se,1,traduction,Non, Non,116,1,1,1,1,1,0,1,1
117,ø,ca,ø,ø,ca,ca,ø,ca,1,traduction,Non, Non,117,0,1,0,0,1,1,0,1
118,ø,ø,ø,ø,ø,en,ø,en,1,traduction,Non, Non,118,0,0,0,0,0,2,0,2
119,contiene,contiene,contiene,contiene,contiene,conviene,contiene,ø,1,traduction,Non, Non,119,1,1,1,1,1,2,1,0
