Index,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Phil_U,Sev_Z,Chapitre, Type, Conserver, Revoir,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Phil_U,Sev_Z,Notes
1,primo,ø,primero,primero,primero,primero,ø,primero,1,,Non, Non,1,0,2,2,2,2,0,2,
2,ø,ø,ø,ø,muestra,ø,ø,demuestra,1,,Non, Non,0,0,0,0,2,0,0,1,
3,ø,ø,ø,E,en,ø,ø,que,1,,Non, Non,0,0,0,1,3,0,0,2,
4,ø,ø,ø,ø,commo,ø,ø,qual,1,,Non, Non,0,0,0,0,1,0,0,2,
5,ø,ø,ø,ø,ha,ø,ø,quier,1,,Non, Non,0,0,0,0,2,0,0,1,
6,ø,ø,ø,ø,governar,ø,ø,batalla,1,,Non, Non,0,0,0,0,1,0,0,2,
7,ø,ø,ø,ø,el,ø,ø,se,1,,Non, Non,0,0,0,0,1,0,0,2,
8,ø,ø,ø,contiene,regno,ø,ø,contiene,1,,Non, Non,0,0,0,1,2,0,0,1,
9,ø,ø,ø,xxiii,et,ø,ø,so,1,,Oui, Non,0,0,0,3,1,0,0,2,
10,ø,ø,ø,capítulos,tienpo,ø,ø,arte,1,,Non, Non,0,0,0,3,2,0,0,1,
11,ø,ø,ø,ø,guerra,ø,ø,caualleria,1,,Non, Non,0,0,0,0,1,0,0,2,
12,ø,quí,ø,ø,quí,qui,quí,ø,1,traduction,Oui, Non,0,1,0,0,1,2,1,0,
13,ø,deste,ø,ø,del,deste,deste,ø,1,traduction,Non, Non,0,2,0,0,1,2,2,0,
14,ø,e,ø,ø,et,o,e,ø,1,traduction,Non, Non,0,2,0,0,1,3,2,0,
15,se,se,se,se,se,,se,se,1,traduction,Non, Non,1,1,1,1,1,2,1,1,
16,han,an,han,han,ha,a,ha,han,1,traduction,Non, Non,1,1,1,1,2,3,2,1,
17,guisa,cosa,guisa,cosa,cosa,cosa,cosa,cosa,1,traduction,Oui, Non,2,1,2,1,1,1,1,1,
18,e,o,ø,e,et,e,e,e,1,traduction,Non, Non,2,3,0,2,1,2,2,2,
19,ø,commo,ø,commo,et,commo,commo,ø,1,traduction,Non, Non,0,2,0,2,1,2,2,0,
20,o,o,o,o,o,e,e,o,1,traduction,Non, Non,1,1,1,1,1,2,2,1,
21,e,e,e,e,e,e,o,e,1,glose,Non, Non,1,1,1,1,1,1,2,1,
22,entençion,entençión,entençión,entençión,entençión,rrazón,entinçión,intencion,1,glose,Non, Non,1,1,1,1,1,2,1,1,
23,xxiiij°,xxxiiii°,xxiiii°,xx°iiii°,xxiiij°,xxiiii,xxiiii°,vicesimaquarta,1,glose,Non, Non,3,4,1,6,3,5,1,2,
24,questione,quaestione,quaestione,quaestione,cap,questione,quaestione,questione,1,glose,Non, Non,2,3,3,3,1,2,3,2,
25,puedense,puédense,puédense,puédense,puédense,se,dévense,puedense,1,glose,Non, Non,2,2,2,2,2,1,3,2,
26,derecha,paz,derecha,derecha,paz,derecha,derecha,derecha,1,glose,Oui, Non,2,1,2,2,1,2,2,2,
27,de,de,de,de,del,de,de,de,1,glose,Non, Non,2,2,2,2,1,2,2,2,
28,la,al,la,la,la,la,la,la,1,glose,Non, Non,1,2,1,1,1,1,1,1,
29,por,para,por,por,para,para,para,por,1,glose,Non, Non,2,1,2,2,1,1,1,2,
30,contumaçias,contumaçiones,contumaçias,contumaçias,continuaçiones,contumaçias,contumaçias,contumacias,1,glose,Oui, Non,2,1,2,2,3,2,2,2,
31,asaz,asaz,asaz,más,asáz,asáz,asaz,asaz,1,glose,Non, Non,2,2,2,1,2,2,2,2,
32,do,do,Do,do,do,Do,do,do,1,glose,Non, Non,1,1,2,1,1,2,1,1,
33,Ca,Ca,Ca,Ca,ca,ca,en,Ca,1,glose,Non, Non,1,1,1,1,1,1,2,1,
34,con,con,con,con,con,por,con,con,1,glose,Non, Non,1,1,1,1,1,2,1,1,
35,o,o,o,o,o,o,e,o,1,glose,Non, Non,1,1,1,1,1,1,2,1,
36,questione,quaestione,quaestione,quaestione,capítulo,questione,quaestione,questione,1,glose,Non, Non,1,3,3,3,2,1,3,1,
37,ochaua,viii°,octava,viii°,vii°,viii°,viii°,octaua,1,glose,Non, Non,2,3,5,3,1,3,3,4,
38,del,de,del,del,de,del,del,del,1,glose,Non, Non,2,1,2,2,1,2,2,2,
39,epistola,la,epístola,epístola,la,la,epístola,epistola,1,glose,Non, Non,1,2,1,1,2,2,1,1,
40,quinta,·v·,v,v°,v°,quinta,quinta,quinta,1,glose,Non, Non,2,1,1,1,1,2,2,2,
41,domar,perdonar,domar,domar,domar,domar,domar,domar,1,glose,Oui, Non,1,2,1,1,1,1,1,1,
42,questione,quaestione,quaestione,quaestione,viii°,questione,quaestione,questione,1,glose,Non, Non,1,3,3,3,2,1,3,1,
43,ochaua,viii,octava,viii°,capítulo,viii,viii°,octaua,1,glose,Non, Non,1,3,4,5,2,3,5,6,
44,deue,puede,deve,deve,deve,deve,deve,deue,1,glose,Oui, Non,2,1,2,2,2,2,2,2,
45,nulla,nulla,nulla,nulla,mala,milla,nulla,nulla,1,glose,Oui, Non,3,3,3,3,2,1,3,3,
46,vrgeat,viget,urgeat,urgeat,viget,viget,viget,vrgeat,1,glose,Oui, Non,2,1,2,2,1,1,1,2,
47,neçesitas,nesçessitas,nesçesitas,necessitas,neçesitas,nesçesitas,necessitas,necessitas,1,glose,Non, Non,2,1,3,1,2,3,1,1,
