A,B,G,J,Q,R,Z,U,Analyse, Chapitre, Type, Conserver, Revoir
1,Capitulo,ø,Capítulo,Capítulo,Capítulo,Capítulo,Capitulo,ø,#normalisation,1,,Non, Non
2,primo,ø,primero,primero,primero,primero,primero,ø,#lexicale,1,,Non, Non
3,ø,ø,ø,ø,en,ø,en,ø,#not_apparat,1,,Non, Non
4,ø,ø,ø,ø,que,ø,que,ø,#not_apparat,1,,Non, Non
5,ø,ø,ø,ø,muestra,ø,demuestra,ø,#lexicale,1,,Non, Non
6,ø,ø,ø,E,en,ø,que,ø,#lexicale,1,,Non, Non
7,ø,ø,ø,ø,commo,ø,qual,ø,#lexicale,1,,Non, Non
8,ø,ø,ø,ø,se,ø,se,ø,#not_apparat,1,,Non, Non
9,ø,ø,ø,ø,ha,ø,quier,ø,#lexicale,1,,Non, Non
10,ø,ø,ø,ø,ø,ø,obra,ø,#omission,1,,Non, Non
11,ø,ø,ø,ø,de,ø,de,ø,#not_apparat,1,,Non, Non
12,ø,ø,ø,ø,governar,ø,batalla,ø,#lexicale,1,,Non, Non
13,ø,ø,ø,ø,el,ø,se,ø,#lexicale,1,,Non, Non
14,ø,ø,ø,contiene,regno,ø,contiene,ø,#lexicale,1,,Non, Non
15,ø,ø,ø,xxiii,et,ø,so,ø,#lexicale,1,,Non, Non
16,ø,ø,ø,ø,la,ø,la,ø,#not_apparat,1,,Non, Non
17,ø,ø,ø,ø,çibdat,ø,ø,ø,#not_apparat,1,,Non, Non
18,ø,ø,ø,ø,en,ø,ø,ø,#not_apparat,1,,Non, Non
19,ø,ø,ø,capítulos,tienpo,ø,arte,ø,#lexicale,1,,Non, Non
20,ø,ø,ø,ø,de,ø,de,ø,#not_apparat,1,,Non, Non
21,ø,ø,ø,ø,ø,ø,la,ø,#omission,1,,Non, Non
22,ø,ø,ø,ø,guerra,ø,caualleria,ø,#lexicale,1,,Non, Non
23,ø,ø,ø,ø,ø,A,ø,ø,#omission,1,traduction,Non, Non
24,ø,quí,ø,ø,quí,qui,ø,quí,#lexicale,1,traduction,Non, Non
25,ø,comiença,ø,ø,comiença,comiença,ø,comiença,#not_apparat,1,traduction,Non, Non
26,ø,la,ø,ø,la,la,ø,la,#not_apparat,1,traduction,Non, Non
27,ø,terçera,ø,ø,terçera,terçera,ø,terçera,#not_apparat,1,traduction,Non, Non
28,ø,parte,ø,ø,parte,parte,ø,parte,#not_apparat,1,traduction,Non, Non
29,ø,deste,ø,ø,del,deste,ø,deste,#lexicale,1,traduction,Non, Non
30,ø,libro,ø,ø,ø,libro,ø,ø,#omission #transposition,1,traduction,Non, Non
31,ø,terçero,ø,ø,terçero,terçero,ø,iii°,#graphique,1,traduction,Non, Non
32,ø,ø,ø,ø,libro,ø,ø,libro,#omission #transposition,1,traduction,Non, Non
33,ø,en,ø,ø,en,en,ø,en,#not_apparat,1,traduction,Non, Non
34,ø,que,ø,ø,que,que,ø,que,#not_apparat,1,traduction,Non, Non
35,ø,muestra,ø,ø,muestra,muestra,ø,muestra,#not_apparat,1,traduction,Non, Non
36,ø,en,ø,ø,en,ø,ø,en,#omission,1,traduction,Non, Non
37,ø,commo,ø,ø,commo,commo,ø,commo,#not_apparat,1,traduction,Non, Non
38,ø,se,ø,ø,se,se,ø,se,#not_apparat,1,traduction,Non, Non
39,ø,ha,ø,ø,ha,ha,ø,ha,#not_apparat,1,traduction,Non, Non
40,ø,de,ø,ø,de,de,ø,de,#not_apparat,1,traduction,Non, Non
41,ø,governar,ø,ø,governar,governar,ø,governar,#not_apparat,1,traduction,Non, Non
42,ø,el,ø,ø,el,el,ø,el,#not_apparat,1,traduction,Non, Non
43,ø,rregno,ø,ø,rreyno,rregno,ø,regno,#graphique,1,traduction,Non, Non
44,ø,e,ø,ø,et,o,ø,e,#lexicale,1,traduction,Non, Non
45,ø,la,ø,ø,la,la,ø,la,#not_apparat,1,traduction,Non, Non
46,ø,çibdat,ø,ø,çibdat,çibdat,ø,çibdat,#not_apparat,1,traduction,Non, Non
47,ø,en,ø,ø,en,en,ø,en,#not_apparat,1,traduction,Non, Non
48,ø,tienpo,ø,ø,tienpo,tienpo,ø,tienpo,#not_apparat,1,traduction,Non, Non
49,ø,de,ø,ø,de,de,ø,de,#not_apparat,1,traduction,Non, Non
50,ø,guerra,ø,ø,guerra,guerra,ø,guerra,#not_apparat,1,traduction,Non, Non
51,ø,Ca,ø,ø,Ca,Ca,ø,Ca,#not_apparat,1,traduction,Non, Non
52,Espues,después,espúes,espués,después,después,spues,después,#normalisation,1,traduction,Non, Non
53,que,que,que,que,que,que,que,que,#not_apparat,1,traduction,Non, Non
54,mostro,mostró,mostró,mostró,mostró,mostró,mostro,mostró,#normalisation,1,traduction,Non, Non
55,en,en,en,en,en,en,en,en,#not_apparat,1,traduction,Non, Non
56,la,la,la,la,la,la,la,la,#not_apparat,1,traduction,Non, Non
57,primera,primera,primera,primera,primera,primera,primera,primera,#not_apparat,1,traduction,Non, Non
58,parte,parte,parte,parte,parte,parte,parte,parte,#not_apparat,1,traduction,Non, Non
59,commo,commo,commo,como,commo,commo,como,commo,#morphosyntactique,1,traduction,Non, Non
60,fablaron,fablasen,fablaron,fablaron,fablasen,fablaron,fablaron,fablaron,#morphosyntactique,1,traduction,Non, Non
61,los,los,los,los,los,dos,los,ø,#omission #lexicale,1,traduction,Non, Non
62,philosophos,philósophos,philósophos,philósofos,filósofos,filósofos,philosophos,philósophos,#personne,1,traduction,Non, Non
63,antigos,antiguos,antiguos,antiguos,antigos,ø,antiguos,antiguos,#omission #graphique,1,traduction,Non, Non
64,del,del,del,del,del,del,del,del,#not_apparat,1,traduction,Non, Non
